date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-07-23,000660,KRX,-226587,-26183,241819,55.16,269000,3116279,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-24,000660,KRX,387098,-75586,-307523,55.22,269500,3667144,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-25,000660,KRX,-129666,-294719,409602,55.2,266000,2171063,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-28,000660,KRX,-215189,233322,-26781,55.17,262000,2877357,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-29,000660,KRX,2233,130589,-136560,55.12,262500,2944177,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-30,000660,KRX,13699,160136,-165586,55.11,263500,2482807,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-07-31,000660,KRX,533529,252601,-775339,55.2,273500,3472644,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-01,000660,KRX,-693827,-408706,1098600,55.08,258000,3227394,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-04,000660,KRX,-217329,53561,154377,55.06,258000,2281558,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-05,000660,KRX,441872,-215162,-218908,55.12,263500,2118171,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-06,000660,KRX,183812,-281403,104485,55.14,258500,1374559,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-07,000660,KRX,405730,-277031,-139600,55.17,262000,2724438,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-08,000660,KRX,-68291,-151837,219574,55.15,256500,2676174,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-11,000660,KRX,598562,-37813,-562606,55.21,267000,2415473,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-12,000660,KRX,432213,89862,-517134,55.31,269000,3008648,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-13,000660,KRX,1254448,-7975,-1223279,55.48,278000,3472694,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-14,000660,KRX,-84757,15387,68993,55.48,276500,2101050,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-18,000660,KRX,-367079,14296,341725,55.41,267500,1993220,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-19,000660,KRX,-384942,138326,245840,55.37,263000,1709646,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-20,000660,KRX,-569287,307944,262420,55.3,255500,3571545,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-21,000660,KRX,-1622227,-43137,1648429,55.05,245000,6301130,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-22,000660,KRX,-41106,225367,-212448,55.07,251000,3064062,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-25,000660,KRX,413193,-31176,-369567,55.14,259500,3183709,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-26,000660,KRX,-116080,180008,-68755,55.15,261500,2050625,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-27,000660,KRX,-550013,342271,199172,55.06,260000,2801594,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-28,000660,KRX,779359,188458,-948244,54.81,268500,3836024,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-08-29,000660,KRX,105637,187324,-258347,54.82,269000,1892127,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-01,000660,KRX,-398855,-62514,456426,55.06,256000,1837054,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-02,000660,KRX,426784,-153312,-256878,55.13,260500,1584710,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-03,000660,KRX,402800,-144481,-242600,55.18,262500,2437896,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-04,000660,KRX,51771,209404,-269500,55.16,265500,2189959,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-05,000660,KRX,1036811,114232,-1128309,55.35,273500,3103427,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-08,000660,KRX,531363,2553,-502828,55.44,277000,2018299,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-09,000660,KRX,1351109,-57249,-1274676,55.63,288000,4158342,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-10,000660,KRX,2180179,207320,-2306746,55.97,304000,5265553,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-11,000660,KRX,963288,-223152,-704841,56.09,307000,5148088,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-12,000660,KRX,1031871,312354,-1305206,56.21,328500,4242516,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-15,000660,KRX,230476,8924,-231456,56.25,331000,4221256,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-16,000660,KRX,736005,-110204,-613141,56.32,348000,5841135,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-17,000660,KRX,-523391,16245,508867,56.26,333500,4498866,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-18,000660,KRX,60118,125398,-194242,56.21,353000,4526286,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-19,000660,KRX,-589747,-19315,600519,56.08,353000,4385543,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-22,000660,KRX,-857589,387157,464965,55.9,351000,4377563,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-23,000660,KRX,-12600,199611,-193291,55.9,361000,3315336,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-24,000660,KRX,-753381,283694,456519,55.81,357500,4165199,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-25,000660,KRX,227515,-54677,-192046,55.85,356500,2148215,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-26,000660,KRX,-1046173,-47041,1071106,55.57,336500,3685324,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-29,000660,KRX,247455,165103,-405440,55.48,349000,2275986,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-09-30,000660,KRX,-207704,17393,180827,55.45,347500,2238614,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-01,000660,KRX,203493,270253,-490160,55.48,360000,2802437,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-02,000660,KRX,1031530,-215434,-821959,55.64,395500,7430763,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-10,000660,KRX,-163368,-425711,569699,55.61,428000,6835852,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-13,000660,KRX,-1278923,210510,1007023,55.44,415000,4356534,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-14,000660,KRX,-49708,-2718,36923,55.41,411500,4101275,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-15,000660,KRX,-760648,406496,340737,55.3,422500,2688019,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-16,000660,KRX,350491,139672,-511720,55.35,452500,4247934,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-17,000660,KRX,-433516,234374,194708,55.3,465500,4541583,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-20,000660,KRX,-497216,254026,250643,55.23,485500,3333903,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-21,000660,KRX,-792724,-66149,864862,55.13,479000,4126858,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-22,000660,KRX,-1102585,309326,775079,54.96,481500,3870276,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-23,000660,KRX,-564516,153080,382825,54.87,478500,3583993,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-24,000660,KRX,163026,506428,-660317,54.99,510000,4254202,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-27,000660,KRX,-545184,49938,478481,54.94,535000,3381231,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-28,000660,KRX,-2481450,247022,2171725,54.63,521000,5659008,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-29,000660,KRX,-393083,315428,53141,54.6,558000,4803031,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-30,000660,KRX,-457122,-86681,509729,54.53,568000,4888461,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-10-31,000660,KRX,-1086281,338775,720547,54.37,559000,3351809,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-03,000660,KRX,-336479,516474,-163287,54.33,620000,5787058,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-04,000660,KRX,-2474935,88297,2262451,54.21,586000,5969769,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-05,000660,KRX,-2187249,651613,1382776,53.9,579000,8976222,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-06,000660,KRX,-778073,613706,189867,53.77,593000,5321244,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-07,000660,KRX,-548231,4847,504925,53.7,580000,4789397,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-10,000660,KRX,-305491,737643,-437029,53.67,606000,4893645,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-11,000660,KRX,-699241,148916,534706,53.57,619000,5508697,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-12,000660,KRX,-745277,328522,426752,53.95,617000,2831484,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-13,000660,KRX,486644,-754751,259239,54.0,612000,3875541,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-14,000660,KRX,-2179054,-522325,2681424,53.67,560000,5778374,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-17,000660,KRX,581256,58456,-611693,53.76,606000,4470947,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
