date,open,high,low,close,volume
2025-04-15,72.09,73.5,71.85,72.0,3147573.0
2025-04-16,71.49,73.115,71.295,72.82,5798907.0
2025-04-17,73.49,76.44,72.89,75.78,4588293.0
2025-04-21,74.45,74.65,72.62,73.93,2950637.0
2025-04-22,74.7,75.9089,74.6,75.36,2177766.0
2025-04-23,79.15,81.175,77.5625,78.09,4013662.0
2025-04-24,79.16,83.27,79.135,83.04,4105548.0
2025-04-25,83.33,83.81,82.0,82.7,4055435.0
2025-04-28,82.21,82.89,80.56,82.16,2895811.0
2025-04-29,81.585,82.68,81.22,81.6,6502508.0
2025-04-30,87.135,91.51,85.47,91.03,11879886.0
2025-05-01,92.0,93.168,89.89,90.01,5495908.0
2025-05-02,91.55,93.29,91.29,93.07,3409308.0
2025-05-05,92.325,94.33,91.98,93.58,2805680.0
2025-05-06,92.46,94.41,91.92,93.9,2753593.0
2025-05-07,93.99,95.67,93.325,95.45,3716129.0
2025-05-08,96.31,97.225,94.9732,96.3,2392827.0
2025-05-09,97.11,97.73,95.63,95.71,2568103.0
2025-05-12,101.13,103.04,100.0,101.95,5791827.0
2025-05-13,101.9,105.98,101.55,105.47,4335888.0
2025-05-14,105.15,105.86,104.48,105.19,4245516.0
2025-05-15,106.955,108.0,105.91,107.43,4711899.0
2025-05-16,107.52,108.98,107.0,107.79,3234838.0
2025-05-19,105.91,109.67,105.6617,109.04,3286118.0
2025-05-20,109.47,109.48,106.275,106.97,3404111.0
2025-05-21,106.5,107.8222,103.73,104.43,4800383.0
2025-05-22,106.08,111.47,105.35,108.86,8056806.0
2025-05-23,108.28,113.17,108.28,112.74,5981545.0
2025-05-27,113.87,117.36,113.2,117.05,4485868.0
2025-05-28,117.24,118.63,116.815,117.34,4093977.0
2025-05-29,117.56,118.2,116.28,118.14,2447044.0
2025-05-30,117.17,119.13,116.67,117.94,4352500.0
2025-06-02,117.01,119.7554,116.782,119.15,3097521.0
2025-06-03,119.1,124.04,118.75,123.23,4835199.0
2025-06-04,123.73,127.69,123.73,127.64,5769143.0
2025-06-05,127.91,129.95,127.36,127.7,4765823.0
2025-06-06,128.9,129.96,126.76,126.97,4377545.0
2025-06-09,129.54,132.225,128.8769,130.17,5425352.0
2025-06-10,129.97,130.685,126.345,127.99,6119507.0
2025-06-11,129.05,129.08,125.71,126.49,4552910.0
2025-06-12,126.155,127.35,125.7867,126.07,3004987.0
2025-06-13,125.17,128.31,124.6301,127.27,3000818.0
2025-06-16,128.7,131.49,127.6101,131.04,3530296.0
2025-06-17,130.45,133.5,130.0,130.87,3410750.0
2025-06-18,130.87,133.76,130.36,131.3,2816701.0
2025-06-20,132.17,132.61,130.325,130.96,6027483.0
2025-06-23,132.33,133.89,130.9184,133.08,4372694.0
2025-06-24,134.0,137.54,133.85,136.31,4670289.0
2025-06-25,137.67,138.69,136.28,138.54,3574853.0
2025-06-26,138.54,140.8,138.0,140.69,3047106.0
2025-06-27,141.58,142.47,140.295,141.44,4651135.0
2025-06-30,142.0,144.48,141.5838,144.33,3663793.0
2025-07-01,143.64,145.73,142.63,145.04,4951363.0
2025-07-02,145.04,152.05,144.79,151.94,6702866.0
2025-07-03,152.0,152.155,149.24,149.44,3595478.0
2025-07-07,149.47,151.8,147.74,148.39,3661656.0
2025-07-08,149.06,149.71,143.43,144.47,4599019.0
2025-07-09,145.92,145.92,141.71,142.01,6198405.0
2025-07-10,144.5,146.235,142.45,144.5,5593835.0
2025-07-11,144.0,147.91,143.5,147.18,2868539.0
2025-07-14,148.55,149.955,145.62,149.08,2856598.0
2025-07-15,150.31,150.96,147.8,149.05,2461421.0
2025-07-16,148.98,149.0,145.51,147.12,2694540.0
2025-07-17,147.12,149.645,146.35,146.72,5155524.0
2025-07-18,147.61,149.91,146.224,149.075,3336369.0
2025-07-21,149.46,150.92,148.03,149.63,3453842.0
2025-07-22,149.0,149.28,144.76,146.59,3044996.0
2025-07-23,147.15,152.83,147.0,152.76,4024700.0
2025-07-24,152.23,153.88,151.0761,152.73,2429630.0
2025-07-25,152.4,153.33,148.435,150.89,3125792.0
2025-07-28,151.48,152.04,149.74,150.46,2585163.0
2025-07-29,151.75,155.52,150.0,152.68,6242703.0
2025-07-30,141.0,148.54,138.3,147.42,12024613.0
2025-07-31,148.3,157.45,146.9,157.01,7049724.0
2025-08-01,153.36,156.61,150.9165,154.81,3827601.0
2025-08-04,156.79,157.618,152.4,154.81,2509327.0
2025-08-05,156.8,157.4,147.21,151.74,3449315.0
2025-08-06,153.0,153.0,146.85,147.27,3776151.0
2025-08-07,144.98,148.55,144.75,148.1,3472402.0
2025-08-08,149.5,151.08,148.56,150.45,1901580.0
2025-08-11,151.61,156.1,151.23,151.69,2758346.0
2025-08-12,152.23,158.0,152.23,155.59,2362153.0
2025-08-13,156.35,157.5,154.86,156.92,2052510.0
2025-08-14,155.26,156.835,154.2,155.73,2319560.0
2025-08-15,155.75,155.75,152.0501,154.43,1431734.0
2025-08-18,154.95,158.82,154.075,158.7,2016266.0
2025-08-19,158.09,158.98,155.31,157.93,2546515.0
2025-08-20,157.18,158.67,152.5,158.4,2176912.0
2025-08-21,158.24,159.36,153.03,154.6,2299918.0
2025-08-22,155.12,160.57,154.22,159.21,1919867.0
2025-08-25,159.0,165.28,158.68,164.0,2515352.0
2025-08-26,163.72,166.91,163.72,165.24,3272275.0
2025-08-27,165.9,168.2,165.54,167.24,2688320.0
2025-08-28,167.11,173.21,167.11,172.38,3079839.0
2025-08-29,172.06,173.415,166.66,167.4,2798227.0
2025-09-02,164.41,170.75,163.8601,170.5,3175246.0
2025-09-03,171.1,176.49,170.01,176.32,3790064.0
2025-09-04,177.405,184.11,175.815,183.98,5571372.0
2025-09-05,186.0,189.2255,183.02,188.16,3761085.0
2025-09-08,189.99,191.52,187.18,189.24,4019587.0
2025-09-09,189.02,192.02,188.0,191.59,3230723.0
2025-09-10,193.01,193.8,189.9,193.04,4342969.0
2025-09-11,193.3,199.24,192.99,196.81,3624962.0
2025-09-12,196.7,198.37,193.32,195.99,3293331.0
2025-09-15,200.0,214.2,199.65,211.12,7398102.0
2025-09-16,211.3,215.2,207.66,211.13,4886880.0
2025-09-17,210.4,214.21,206.26,213.36,4268415.0
2025-09-18,216.72,219.53,215.1,216.64,3044129.0
2025-09-19,218.43,221.66,216.0,221.23,4834710.0
2025-09-22,222.9,230.82,221.97,229.33,5243149.0
2025-09-23,229.37,231.96,223.505,228.13,4389367.0
2025-09-24,227.72,231.41,222.93,223.7,4121021.0
2025-09-25,219.95,222.53,216.01,219.85,4200841.0
2025-09-26,220.33,220.82,213.0554,217.51,2476986.0
2025-09-29,226.75,234.115,224.81,229.14,5108105.0
2025-09-30,226.88,236.51,226.26,236.06,4183818.0
2025-10-01,234.34,258.3999,232.58,256.84,9751880.0
2025-10-02,263.3,264.83,251.9,254.74,4801275.0
2025-10-03,254.965,261.29,251.65,252.79,4915965.0
2025-10-06,260.11,261.24,242.45,242.83,5233406.0
2025-10-07,244.65,244.735,223.01,225.01,10018902.0
2025-10-08,224.87,229.045,222.72,224.35,5190232.0
2025-10-09,223.51,225.066,218.63,221.7,3426750.0
2025-10-10,220.4,224.26,212.63,214.38,5190829.0
2025-10-13,225.56,225.65,216.5101,219.51,3348523.0
2025-10-14,215.38,217.395,210.57,211.63,3646187.0
2025-10-15,215.66,220.59,212.3481,219.38,6236816.0
2025-10-16,224.15,232.999,221.86,226.03,5196469.0
2025-10-17,222.43,230.4476,220.942,225.4,3258441.0
2025-10-20,230.0,233.28,209.3701,214.4,4601890.0
2025-10-21,212.625,216.53,210.6793,214.57,2816941.0
2025-10-22,213.67,219.32,209.0,215.05,2925104.0
2025-10-23,218.25,226.91,218.25,226.41,2569567.0
2025-10-24,234.08,240.8543,230.53,234.12,3663831.0
2025-10-27,241.33,241.999,227.63,230.32,4942260.0
2025-10-28,229.18,230.0,217.67,223.0,6500925.0
2025-10-29,240.515,268.91,240.06,265.62,9900673.0
2025-10-30,258.21,274.48,258.0,268.335,7175220.0
2025-10-31,276.83,280.35,243.34,255.88,8616042.0
2025-11-03,258.75,269.56,253.65,265.55,4450394.0
2025-11-04,255.06,260.32,249.4803,250.38,3437870.0
2025-11-05,258.29,283.94,257.31,275.77,9050023.0
2025-11-06,277.27,284.42,273.5221,278.47,4075278.0
2025-11-07,273.955,279.81,263.46,279.35,5098657.0
2025-11-10,290.71,296.0,287.11,293.99,3970356.0
2025-11-11,289.265,296.15,283.52,288.0,3881014.0
2025-11-12,288.0,297.8799,279.0,283.26,3985228.0
2025-11-13,273.615,277.5,258.85,262.56,5350168.0
2025-11-14,254.15,267.81,251.09,258.21,4718392.0
2025-11-17,257.5,269.795,254.475,261.38,2851457.0
2025-11-18,257.39,261.3599,249.53,253.86,2479436.0
2025-11-19,253.99,263.82,253.99,259.135,2305394.0
2025-11-20,273.18,275.7,237.4,240.5,4069989.0
2025-11-21,237.4,240.5,228.61,237.49,4177144.0
2025-11-24,242.92,256.7,242.91,253.38,4200419.0
2025-11-25,251.18,263.57,247.0,261.89,2555111.0
2025-11-26,264.66,275.0,262.7201,272.28,3487443.0
2025-11-28,275.0,277.58,269.51,276.69,1237632.0
2025-12-01,272.09,275.98,266.0,270.1,2319728.0
2025-12-02,272.91,278.39,259.38,266.87,3101452.0
2025-12-03,266.46,266.46,250.53,258.67,3828086.0
2025-12-04,258.7,266.4,257.36,265.63,1971577.0
2025-12-05,269.81,279.67,269.12,278.79,2863367.0
2025-12-08,281.0,288.2699,278.669,285.41,3468960.0
2025-12-09,285.79,289.44,280.0,282.86,2072591.0
2025-12-10,283.7,301.47,281.295,298.92,3617335.0
2025-12-11,294.295,308.93,288.625,307.845,3176253.0
2025-12-12,302.0,304.0,280.51,287.64,5255436.0
2025-12-15,291.89,293.959,284.23,285.58,3465399.0
2025-12-16,285.41,294.94,280.5,288.13,3090761.0
2025-12-17,291.11,296.68,276.11,277.65,3513840.0
2025-12-18,288.5,299.23,286.67,292.0,3729832.0
2025-12-19,296.67,305.43,293.6945,296.36,24731151.0
2025-12-22,301.25,302.0,279.0001,282.85,4340397.0
2025-12-23,278.58,282.85,274.71,282.8,2084406.0
2025-12-24,281.55,288.5,281.55,285.27,1059201.0
2025-12-26,288.76,289.7999,282.55,286.22,1063572.0
2025-12-29,281.99,289.4699,279.325,281.3,2537317.0
2025-12-30,282.05,284.01,279.62,280.08,1873352.0
2025-12-31,280.0,280.25,274.27,275.39,1316762.0
2026-01-02,281.97,289.65,280.42,287.54,2730803.0
2026-01-05,294.97,298.0,277.6927,289.83,3350231.0
2026-01-06,290.9,331.9999,290.9,330.42,5563221.0
2026-01-07,319.01,322.0,298.94,308.26,5179044.0
2026-01-08,305.88,306.24,278.15,284.47,4826036.0
2026-01-09,284.67,305.44,280.67,304.01,3186911.0
2026-01-12,299.31,322.76,298.09,321.48,3065787.0
2026-01-13,319.48,331.0,316.77,318.44,3459524.0
2026-01-14,319.83,322.728,309.15,312.28,1947098.0
2026-01-15,322.76,328.78,317.001,320.32,3179603.0
2026-01-16,333.5,335.02,321.1872,326.23,3378511.0
2026-01-20,322.99,336.17,322.04,325.99,3619947.0
2026-01-21,334.405,349.545,323.61,344.22,4710474.0
2026-01-22,350.0,350.05,330.0,346.53,2795980.0
2026-01-23,344.47,347.71,331.745,346.1,2957179.0
2026-01-26,348.85,370.47,346.0001,358.29,5038861.0
2026-01-27,361.62,383.88,361.0,371.76,7353567.0
2026-01-28,395.19,449.5,389.0,442.93,14749752.0
2026-01-29,450.265,457.84,434.0,446.57,9052294.0
2026-01-30,449.64,452.9202,397.3301,407.69,9224221.0
2026-02-02,402.5,436.0,399.53,432.95,6062486.0
2026-02-03,451.505,459.41,424.51,444.45,6088594.0
2026-02-04,442.0,453.4499,402.04,418.63,6601072.0
2026-02-05,413.56,418.395,394.24,405.45,5641852.0
2026-02-06,426.255,431.93,406.855,429.32,3283538.0
2026-02-09,424.04,438.55,415.0,425.0,3188167.0
2026-02-10,421.77,421.77,395.14,396.23,3171347.0
2026-02-11,409.64,415.6,391.0,407.25,2826578.0
2026-02-12,425.82,459.84,425.81,431.17,6436516.0
2026-02-13,416.06,431.66,402.5101,425.99,3855613.0
2026-02-17,420.0,429.23,411.6,415.94,2839067.0
2026-02-18,418.94,434.95,417.3,424.14,2865429.0
2026-02-19,420.17,424.11,402.16,408.97,3518274.0
2026-02-20,403.08,416.9899,399.13,411.11,2962097.0
2026-02-23,410.4,422.99,402.15,407.4,2402275.0
2026-02-24,410.11,413.795,394.0452,396.02,3119158.0
2026-02-25,409.26,426.5,408.3,421.85,3385551.0
2026-02-26,413.69,416.5,393.22,409.67,3077436.0
2026-02-27,400.0,415.6,396.22,407.84,3605503.0
2026-03-02,393.59,407.7,374.53,379.52,4223632.0
2026-03-03,361.26,365.98,350.1001,357.62,5712482.0
2026-03-04,367.5,390.5,364.68,375.01,3774135.0
2026-03-05,370.98,378.1499,352.56,367.34,3399850.0
2026-03-06,356.31,370.34,351.15,352.8,2415593.0
2026-03-09,342.42,374.66,342.0,374.33,2929427.0
2026-03-10,377.93,398.285,377.93,384.29,3486684.0
2026-03-11,384.0,391.24,376.15,385.97,1976376.0
2026-03-12,382.71,385.0,368.69,373.98,2058320.0
2026-03-13,378.07,394.9899,377.14,383.71,2913436.0
2026-03-16,397.5,410.8,395.63,398.78,3119842.0
2026-03-17,400.0,421.314,397.5,421.09,3468748.0
2026-03-18,419.53,422.74,405.11,406.77,3830730.0
2026-03-19,396.4,437.46,388.3701,434.6,4156989.0
2026-03-20,433.5,439.73,409.25,411.23,8618933.0
