date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2025-12-17,72.7891,88.2353,29.9363,54.7945,47.9114,80.1075,30.0435,55.2621,206.83,1702686609.0,3.5538,0.0479,0.0303,0.9439,47.9114,127.529,0.3004
2025-12-18,67.5676,87.766,38.6076,62.585,51.8144,81.2834,30.3681,57.9502,219.46,2177942108.16,3.4736,0.0468,0.0837,1.1983,51.8144,129.733,0.3037
2025-12-19,62.4161,87.3016,48.4277,66.2162,56.8215,63.8298,31.8377,57.7428,237.61,2595841728.0,3.2701,0.046,0.161,1.52,56.8215,103.2378,0.3184
2025-12-22,61.3333,86.8421,48.75,65.7718,57.7182,63.4921,27.3649,56.9003,241.05,2088312328.95,3.1237,0.0457,0.1637,1.482,57.7182,103.1561,0.2736
2025-12-23,60.2649,85.8639,50.3106,60.0,58.7508,61.0526,23.8924,55.3051,244.9,1299192295.9,2.9998,0.0444,0.1698,1.1577,58.7508,93.7441,0.2389
2025-12-24,59.2105,85.4167,53.7037,62.9139,60.1605,60.733,24.2657,56.3669,250.08,1386771875.04,2.8741,0.0439,0.1807,1.2289,60.1605,93.1062,0.2427
2025-12-26,56.8627,83.9378,49.6933,56.5789,60.1477,59.8958,24.1058,53.9637,250.05,1388690432.55,2.3761,0.0371,0.1689,1.0645,60.1477,92.4099,0.2411
2025-12-29,55.8442,83.5052,40.2439,54.2484,57.5923,59.5855,24.2228,51.2436,244.25,1393722008.25,2.2702,0.0351,0.1312,0.9675,57.5923,92.3177,0.2422
2025-12-30,55.4839,83.0769,38.1818,50.6494,55.8178,59.2784,24.5768,50.0241,240.22,1589503070.08,2.2249,0.0348,0.1023,0.8707,55.8178,89.491,0.2458
2025-12-31,54.4872,82.1429,36.1446,53.5484,54.5425,57.9487,24.677,49.4966,237.38,992322937.32,2.1434,0.0333,0.0804,0.9591,54.5425,89.0793,0.2468
2026-01-02,54.7771,82.2335,61.0778,64.7436,65.7707,63.7755,37.0464,60.0674,275.24,3056348632.96,2.1856,0.0337,0.2385,1.2757,65.7707,98.8776,0.3705
