date,close,score,pos
2024-10-08,66.17,37.468,1.0
2024-10-09,64.48,36.404,1.0
2024-10-10,64.05,37.249,1.0
2024-10-11,64.88,37.834,1.0
2024-10-14,66.83,42.423,1.0
2024-10-15,66.95,40.609,1.0
2024-10-16,67.79,42.222,1.0
2024-10-17,67.35,39.266,1.0
2024-10-18,67.03,38.356,1.0
2024-10-21,67.26,39.538,1.0
2024-10-22,67.76,41.948,1.0
2024-10-23,66.61,39.568,1.0
2024-10-24,66.32,31.881,1.0
2024-10-25,69.45,49.087,1.0
2024-10-28,69.71,52.375,1.0
2024-10-29,68.3,45.142,1.0
2024-10-30,67.02,42.478,1.0
2024-10-31,65.31,39.254,1.0
2024-11-01,65.88,37.678,1.0
2024-11-04,65.22,36.068,1.0
2024-11-05,66.83,39.747,1.0
2024-11-06,69.91,49.992,1.0
2024-11-07,70.44,51.734,1.0
2024-11-08,69.61,46.856,1.0
2024-11-11,67.38,41.694,1.0
2024-11-12,63.96,41.379,1.0
2024-11-13,62.73,40.734,1.0
2024-11-14,63.22,40.794,1.0
2024-11-15,62.8,40.068,1.0
2024-11-18,64.58,42.648,1.0
2024-11-19,65.29,42.67,1.0
2024-11-20,63.84,42.117,1.0
2024-11-21,65.88,44.619,1.0
2024-11-22,66.43,39.726,1.0
2024-11-25,69.425,46.828,1.0
2024-11-26,73.02,61.276,1.0
2024-11-27,71.5,59.428,1.0
2024-11-29,72.99,62.55,1.0
2024-12-02,73.43,64.875,1.0
2024-12-03,71.69,59.423,1.0
2024-12-04,72.34,60.502,1.0
2024-12-05,72.11,57.641,1.0
2024-12-06,71.07,54.292,1.0
2024-12-09,70.74,51.4,1.0
2024-12-10,68.82,45.52,1.0
2024-12-11,69.9,42.302,1.0
2024-12-12,65.99,39.092,1.0
2024-12-13,65.12,38.626,1.0
2024-12-16,65.3,40.181,1.0
2024-12-17,64.64,38.851,1.0
2024-12-18,63.54,37.524,1.0
2024-12-19,59.62,40.885,1.0
2024-12-20,60.24,40.304,1.0
2024-12-23,61.56,41.545,1.0
2024-12-24,61.7,39.474,1.0
2024-12-26,61.71,34.35,1.0
2024-12-27,60.7,30.911,1.0
2024-12-30,59.62,29.198,1.0
2024-12-31,59.63,28.777,1.0
2025-01-02,61.87,33.428,1.0
2025-01-03,64.07,39.205,1.0
2025-01-06,65.65,43.395,1.0
2025-01-07,64.87,42.372,1.0
2025-01-08,64.06,41.455,1.0
2025-01-10,62.82,38.759,1.0
2025-01-13,62.02,38.031,1.0
2025-01-14,62.74,35.61,1.0
2025-01-15,64.63,38.33,1.0
2025-01-16,64.25,38.013,1.0
2025-01-17,65.04,40.362,1.0
2025-01-21,67.43,45.516,1.0
2025-01-22,68.63,41.588,1.0
2025-01-23,68.68,39.771,1.0
2025-01-24,67.41,38.321,1.0
2025-01-27,64.4,39.252,1.0
2025-01-28,62.87,39.598,1.0
2025-01-29,62.8,41.425,1.0
2025-01-30,65.78,49.145,1.0
2025-01-31,65.13,49.259,1.0
2025-02-03,64.42,47.903,1.0
2025-02-04,63.81,45.524,1.0
2025-02-05,64.72,46.297,1.0
2025-02-06,64.48,45.484,1.0
2025-02-07,64.46,45.534,1.0
2025-02-10,69.04,60.279,1.0
2025-02-11,68.92,61.786,1.0
2025-02-12,67.28,58.725,1.0
2025-02-13,67.56,59.074,1.0
2025-02-14,68.39,62.039,1.0
2025-02-18,72.03,71.026,1.0
2025-02-19,71.5,68.261,1.0
2025-02-20,71.29,69.255,1.0
2025-02-21,68.705,62.157,1.0
2025-02-24,49.02,43.621,1.0
2025-02-25,49.07,43.519,1.0
2025-02-26,50.16,43.833,1.0
2025-02-27,48.2,43.024,1.0
2025-02-28,48.93,42.224,1.0
2025-03-03,47.01,41.763,1.0
2025-03-04,44.63,40.603,1.0
2025-03-05,44.2,39.378,1.0
2025-03-06,41.45,38.851,1.0
2025-03-07,41.7,38.668,1.0
2025-03-10,40.54,38.209,1.0
2025-03-11,41.8,37.471,1.0
2025-03-12,42.96,37.621,1.0
2025-03-13,42.03,36.954,1.0
2025-03-14,44.53,38.59,1.0
2025-03-17,44.75,38.262,1.0
2025-03-18,44.34,36.339,1.0
2025-03-19,44.9,36.548,1.0
2025-03-20,44.51,36.55,1.0
2025-03-21,43.66,34.998,1.0
2025-03-24,44.31,32.165,1.0
2025-03-25,43.39,29.979,1.0
2025-03-26,42.62,29.09,1.0
2025-03-27,41.91,28.328,1.0
2025-03-28,40.62,26.962,1.0
2025-03-31,40.43,27.032,1.0
2025-04-01,40.89,25.323,1.0
2025-04-02,41.78,26.451,1.0
2025-04-03,34.15,29.414,1.0
2025-04-04,30.54,31.38,1.0
2025-04-07,31.16,30.564,1.0
2025-04-08,31.55,31.457,1.0
2025-04-09,36.3,34.088,1.0
2025-04-10,34.87,33.076,1.0
2025-04-11,34.4,32.557,1.0
2025-04-14,35.82,33.522,1.0
2025-04-15,35.93,33.61,1.0
2025-04-16,35.62,33.732,1.0
2025-04-17,36.51,35.087,1.0
2025-04-21,35.96,34.555,1.0
2025-04-22,36.68,35.099,1.0
2025-04-23,37.7,35.41,1.0
2025-04-24,40.17,36.741,1.0
2025-04-25,40.78,37.616,1.0
2025-04-28,40.91,38.326,1.0
2025-04-29,40.62,38.301,1.0
2025-04-30,43.86,45.219,1.0
2025-05-01,43.95,47.484,1.0
2025-05-02,44.69,50.903,1.0
2025-05-05,45.03,50.454,1.0
2025-05-06,44.29,48.331,1.0
2025-05-07,44.3,46.781,1.0
2025-05-08,44.3,40.446,1.0
2025-05-09,44.1,36.439,1.0
2025-05-12,46.57,43.639,1.0
2025-05-13,49.01,46.34,1.0
2025-05-14,49.2,50.469,1.0
2025-05-15,49.75,51.452,1.0
2025-05-16,49.99,51.466,1.0
2025-05-19,50.72,51.011,1.0
2025-05-20,50.63,55.329,1.0
2025-05-21,49.49,55.781,1.0
2025-05-22,49.84,52.896,1.0
2025-05-23,50.18,54.458,1.0
2025-05-27,51.82,56.165,1.0
2025-05-28,52.35,58.179,1.0
2025-05-29,52.55,54.05,1.0
2025-05-30,51.55,54.203,1.0
2025-06-02,52.19,55.54,1.0
2025-06-03,53.77,56.977,1.0
2025-06-04,54.43,57.618,1.0
2025-06-05,55.05,58.389,1.0
2025-06-06,55.45,58.233,1.0
2025-06-09,57.02,60.183,1.0
2025-06-10,55.95,56.211,1.0
2025-06-11,55.67,53.159,1.0
2025-06-12,55.78,51.085,1.0
2025-06-13,55.7,51.541,1.0
2025-06-16,57.41,53.983,1.0
2025-06-17,58.57,56.416,1.0
2025-06-18,59.19,56.984,1.0
2025-06-20,59.29,56.904,1.0
2025-06-23,60.38,57.656,1.0
2025-06-24,62.07,59.674,1.0
2025-06-25,62.55,59.081,1.0
2025-06-26,63.51,59.089,1.0
2025-06-27,63.29,60.134,1.0
